id	name	coverage	opaque_coverage	soft_alpha	border_visible	significant_components
223512283	Dysmandr, the Depraevity of Worlds	0.686314	0.668015	0.024010	0.279297	1
231088629	Gravinity Spherix	0.274536	0.257870	0.023045	0.000000	2
259097228	Zero Mother of the A.I.P Ex	0.366737	0.356861	0.014587	0.000000	1
259121126	A.I.P Ex Predator	0.659508	0.642647	0.024429	0.081055	1
259126370	Eclipse Observer Chandra	0.297066	0.287415	0.014572	0.000000	1
259137697	A.I.P Ex Claw	0.686176	0.669914	0.022518	0.143555	1
259275822	The Misstakes of the A.I.P Experience	0.430214	0.416988	0.018169	0.000000	1
259465391	Caller of the A.I.P Ex	0.450283	0.432522	0.024742	0.081543	1
259522807	A.I.P Ex Maw	0.444736	0.434341	0.014156	0.000000	1
259609997	A.I.P Ex Larva	0.293480	0.285278	0.011093	0.000000	1
259664027	A.I.P Ex Shrieker	0.300510	0.291012	0.014141	0.000000	1
259920959	Aquamarine Reef Hapalochlaena	0.792221	0.777931	0.018379	0.361816	1
